stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
44.631245,0,6207,-63.589558,,,,,Beaufort Ave After Inglis St (6207),0,6207,
44.653686,0,6201,-63.612367,,,,,Bayers Rd Before Connolly St (6201),0,6201,
44.634504,0,6202,-63.583831,,,,,Robie St Before Oakland Rd (6202),0,6202,
44.653315,0,6203,-63.612835,,,,,Bayers Rd Before Connolly St (6203),0,6203,
44.631051,0,6208,-63.58909,,,,,Beaufort Ave Before Inglis St (6208),0,6208,
44.632769,0,6209,-63.593085,,,,,Beaufort Ave Before Oakland Rd (6209),0,6209,
44.740932,0,8687,-63.329738,,,,,Hwy 7 After Civic 4225 (8687),0,8687,
44.733803,0,6808,-63.783497,,,,,Hammonds Plains Rd Before Glen Arbour Way (6808),0,6808,
44.733831,0,6809,-63.783796,,,,,Hammonds Plains Rd After Glen Arbour Way (6809),0,6809,
44.735501,0,6806,-63.791949,,,,,Hammonds Plains Rd Before Pockwock Rd (6806),0,6806,
44.733025,0,6807,-63.761987,,,,,Hammonds Plains Rd Before Lucasville Rd (6807),0,6807,
44.71728,0,6804,-63.683325,,,,,Hammonds Plains Rd After Basinview Dr (6804),0,6804,
44.718939,0,6805,-63.685603,,,,,Hammonds Plains Rd After Bedford Hills Rd (6805),0,6805,
44.727712,0,6802,-63.816954,,,,,Hammonds Plains Rd Before Yankeetown Rd (6802),0,6802,
44.720828,0,6803,-63.687782,,,,,Hammonds Plains Rd After Brookshire Ct (6803),0,6803,
44.590938,0,6800,-63.59558,,,,,Herring Cove Rd After Bronson Ave (6800),0,6800,
44.727833,0,6801,-63.816661,,,,,Hammonds Plains Rd Before 2nd Yankeetown Rd (6801),0,6801,
44.666643,0,8839,-63.508046,,,,,Portland Hills Dr At Civic 537 (8839),0,8839,
44.665514,0,8838,-63.505036,,,,,Portland Hills Dr Before Woodhaven Cl (8838),0,8838,
44.664638,0,8835,-63.510395,,,,,Portland Hills Dr At Civic 159 (8835),0,8835,
44.665457,0,8834,-63.515248,,,,,Portland Hills Dr At Civic 8 (8834),0,8834,
44.663902,0,8837,-63.503815,,,,,Portland Hills Dr At Civic 367 (8837),0,8837,
44.663419,0,8836,-63.507449,,,,,Portland Hills Dr After Waterside Terr (8836),0,8836,
44.663962,0,8831,-63.503984,,,,,Portland Hills Dr After Bellbrook Cr (8831),0,8831,
44.665435,0,8830,-63.506119,,,,,Portland Hills Dr After Surrey Way (8830),0,8830,
44.664691,0,8833,-63.510484,,,,,Portland Hills Dr Before Civic 146 (8833),0,8833,
44.66331,0,8832,-63.506755,,,,,Portland Hills Dr Before Waterside Terr (8832),0,8832,
44.662361,0,7078,-63.656131,,,,,Lacewood Dr Before Dunbrack St (7078),0,7078,
44.660604,0,7079,-63.635456,,,,,Titus St Before Evans Ave (7079),0,7079,
44.663349,0,7074,-63.643481,,,,,Lacewood Dr After Gateway Rd (7074),0,7074,
44.66389,0,7075,-63.645298,,,,,Lacewood Dr Before Bayview Rd (7075),0,7075,
44.664121,0,7076,-63.648761,,,,,Lacewood Dr Before Cedarbrae Ln (7076),0,7076,
44.663427,0,7077,-63.653772,,,,,Lacewood Dr Before Dunbrack St (7077),0,7077,
44.662281,0,7072,-63.66039,,,,,Lacewood Dr After Willett St (7072),0,7072,
44.659862,0,7073,-63.665745,,,,,Lacewood Dr After Thomas Raddall Dr (7073),0,7073,
44.658629,0,6976,-63.743117,,,,,James St At Civic 30 (6976),0,6976,
44.658658,0,6977,-63.743221,,,,,James St At Civic 27 (6977),0,6977,
44.688516,0,6974,-63.536022,,,,,Inverary Dr Before Strath Ln (6974),0,6974,
44.64657,0,6975,-63.543443,,,,,Irving St Before Pleasant St (6975),0,6975,
44.635266,0,6972,-63.572424,,,,,Inglis St Opposite South Bland St (6972),0,6972,
